name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,source
29642,2000-01-01,59.1,43.1,50.4,59.1,39.5,49.6,49.7,97.5,0,0,0,,,,,5.8,5.8,4,3.4,125.6,1023,78.4,2.2,,,,,2000-01-01T07:37:46,2000-01-01T17:29:40,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs
29642,2000-01-02,62.9,50.1,56.4,62.9,50.1,56.4,55.2,96,0,0,0,,,,,13.9,13.9,7.6,3.4,228.3,1022.9,80.5,4.2,,,,,2000-01-02T07:37:57,2000-01-02T17:30:25,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs
29642,2000-01-03,68.1,53,59,68.1,53,59,56.4,91.9,0.012,100,4.17,rain,,,,15,15,6.7,3.4,228.5,1020.1,76.7,4.1,,,,,2000-01-03T07:38:07,2000-01-03T17:31:12,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,obs
29642,2000-01-04,62,46.1,56.9,62,42,56.4,48.9,77.4,0.326,100,20.83,rain,,,,19.7,19.7,11.5,3.4,242.2,1012.2,54.2,8.5,,,,,2000-01-04T07:38:14,2000-01-04T17:32:00,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,obs
29642,2000-01-05,47,34.1,39.8,44.9,24.2,34.2,23.1,52,0,0,0,,,,,16.1,16.1,9.1,3.4,25.7,1024.5,6.5,9.9,,,,,2000-01-05T07:38:20,2000-01-05T17:32:49,0.97,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-01-06,48.8,29,38.7,48.8,22,35.6,25.7,60.1,0,0,0,,,,,8.1,8.1,5.7,3.4,53.8,1030.4,43.5,9.9,,,,,2000-01-06T07:38:24,2000-01-06T17:33:39,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs
29642,2000-01-07,60.2,35.9,47.4,60.2,35.5,46.6,30.1,55.1,0,0,0,,,,,12.8,12.8,5.7,3.4,6,1026.9,28.8,9.9,,,,,2000-01-07T07:38:26,2000-01-07T17:34:30,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,obs
29642,2000-01-08,50.1,33.2,43.9,50.1,33.2,41.9,25.9,50,0,0,0,,,,,10.3,10.3,5.1,3.4,72.3,1026.1,20,9.9,,,,,2000-01-08T07:38:26,2000-01-08T17:35:22,0.07,Clear,Partly cloudy throughout the day.,clear-day,obs
29642,2000-01-09,46.1,42.2,44,45,41.4,43.1,41.9,92.6,0.434,100,41.67,rain,,,,4.7,4.7,3.7,3.4,84.2,1017.8,99.1,6.1,,,,,2000-01-09T07:38:24,2000-01-09T17:36:15,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,obs
29642,2000-01-10,65,44.9,52.5,65,39.1,50.9,41.5,72.2,0.95,100,33.33,rain,,,,24.2,24.2,11.5,3.4,262.8,1009,52.2,6.4,,,,,2000-01-10T07:38:20,2000-01-10T17:37:09,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,obs
29642,2000-01-11,68.1,44.9,54.9,68.1,39.1,53,30.4,41.5,0,0,0,,,,,21.9,21.9,12.1,5.8,256.1,1015,0,9.9,,,,,2000-01-11T07:38:14,2000-01-11T17:38:04,0.17,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-01-12,69.2,38,53.8,69.2,35.5,53,34.2,48.9,0,0,0,,,,,15,15,7.4,3.4,241.4,1021.1,0,9.9,,,,,2000-01-12T07:38:07,2000-01-12T17:38:59,0.21,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-01-13,74,38,55.9,74,28.3,54.7,34.7,55.2,0,0,0,,,,,21.9,21.9,13.3,8.1,295.6,1019,10.5,9.5,,,,,2000-01-13T07:37:57,2000-01-13T17:39:55,0.24,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-01-14,46.1,30.8,37.3,40.3,22.7,29.9,9.8,33.4,0,0,0,,,,,20.8,20.8,11.5,5.8,355.1,1035.4,0,9.9,,,,,2000-01-14T07:37:46,2000-01-14T17:40:51,0.25,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-01-15,51.2,23.1,38,51.2,23.1,34.8,14.7,40.9,0,0,0,,,,,15,15,10.2,3.4,229.9,1035.9,0,9.9,,,,,2000-01-15T07:37:32,2000-01-15T17:41:49,0.31,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-01-16,59.1,42.2,49.6,59.1,36.2,46.8,32.1,53.1,0,0,0,,,,,23,23,12.5,4.7,257.2,1027.2,28.7,9.9,,,,,2000-01-16T07:37:17,2000-01-16T17:42:46,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs
29642,2000-01-17,52.1,43.1,47.1,52.1,39.4,44.9,25.9,48.6,0,0,0,,,,,16.1,16.1,7.8,3.4,92,1026.2,17.5,9.9,,,,,2000-01-17T07:37:00,2000-01-17T17:43:45,0.38,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-01-18,41.1,32.1,35.7,37.2,27.5,32.3,30.6,84.1,0.114,100,20.83,"rain,snow",,,,9.2,9.2,5.5,3.4,214.3,1017.9,100,4.9,,,,,2000-01-18T07:36:41,2000-01-18T17:44:43,0.41,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,obs
29642,2000-01-19,48.8,30.8,39.6,46,23.5,35.9,30.6,74.3,0.122,100,8.33,rain,,,,13.9,13.9,7.1,3.4,228.8,1014.3,47.6,7,,,,,2000-01-19T07:36:21,2000-01-19T17:45:43,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,obs
29642,2000-01-20,50.1,29,41.1,50.1,17.8,34.6,26.4,60.6,0.122,100,12.5,rain,,,,24.2,24.2,13,4.7,344.1,1006,34.3,8.7,,,,,2000-01-20T07:35:58,2000-01-20T17:46:42,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,obs
29642,2000-01-21,41.1,23.1,30.6,39.8,12.5,23.3,6.4,36.8,0,0,0,,,,,12.8,12.8,9.1,5.8,3.8,1017.1,0,9.9,,,,,2000-01-21T07:35:34,2000-01-21T17:47:42,0.52,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-01-22,32.1,26,28.2,28.9,19.4,23.5,13.5,57.6,0.364,100,33.33,snow,,,,10.3,10.3,5.7,3.4,62.1,1021.1,58.2,7.9,,,,,2000-01-22T07:35:07,2000-01-22T17:48:42,0.55,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,rain,obs
29642,2000-01-23,34.1,28.1,31.5,29.8,21.8,26.2,29.7,93.2,0.511,100,50,"rain,snow",,,,8.1,8.1,5.4,3.4,50.9,1016.1,100,5.7,,,,,2000-01-23T07:34:39,2000-01-23T17:49:42,0.58,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,obs
29642,2000-01-24,35.9,33.9,34.5,32.2,25.5,28.3,32,90.9,0.036,100,12.5,"rain,snow",,1.2,,11.6,11.6,7.4,3.4,46.6,1011.5,99.2,5,,,,,2000-01-24T07:34:10,2000-01-24T17:50:43,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,obs
29642,2000-01-25,38.9,28.1,33.5,34.4,15.4,25.3,14.4,46,0,0,0,,,,,18.3,18.3,11,4.7,348.1,1005.3,45.8,9.9,,,,,2000-01-25T07:33:38,2000-01-25T17:51:44,0.65,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,obs
29642,2000-01-26,34.1,23.1,27.6,24.4,11.4,17.1,9.5,46.5,0.02,100,4.17,snow,,,,18.3,18.3,13.4,6.9,350.6,1014.1,10.4,9.9,,,,,2000-01-26T07:33:05,2000-01-26T17:52:45,0.68,Snow,Clear conditions throughout the day with late afternoon snow.,rain,obs
29642,2000-01-27,39.8,19.1,29,36.5,9.1,23.7,4.6,37.4,0,0,0,,,,,9.2,9.2,7.2,3.4,10.4,1025.1,0,9.9,,,,,2000-01-27T07:32:30,2000-01-27T17:53:46,0.71,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-01-28,42.2,25.1,33.4,38.5,20.9,30,6.9,35.5,0,0,0,,,,,9.2,9.2,5.8,3.4,72.7,1031.9,55.8,9.9,,,,,2000-01-28T07:31:53,2000-01-28T17:54:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs
29642,2000-01-29,37.1,29,33.4,35.9,19.8,26.6,19.5,60.3,0.427,100,45.83,"rain,snow",,,,13.9,13.9,9.2,4.7,65.8,1030.9,100,8.2,,,,,2000-01-29T07:31:15,2000-01-29T17:55:48,0.78,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,obs
29642,2000-01-30,33.2,29,31.3,33.2,19.2,26.8,29.9,94.6,0.26,100,29.17,"rain,snow",,,,11.6,11.6,9.3,4.7,52,1022.4,99.6,5.5,,,,,2000-01-30T07:30:35,2000-01-30T17:56:49,0.81,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,obs
29642,2000-01-31,38,26,31.3,38,26,30.2,27.5,86.5,0,0,0,,,,,9.2,9.2,7,4.7,340.5,1018.3,21.3,7.1,,,,,2000-01-31T07:29:54,2000-01-31T17:57:50,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs
29642,2000-02-01,52.1,24.2,35,52.1,18.2,31,21.8,61.4,0,0,0,,,,,16.1,16.1,9.1,3.4,320.6,1019.2,0,9.6,,,,,2000-02-01T07:29:10,2000-02-01T17:58:51,0.88,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-02,53.9,29,38.5,53.9,19.2,33.8,14.4,39.7,0,0,0,,,,,15,15,8.1,3.4,350.3,1024.1,0,9.9,,,,,2000-02-02T07:28:26,2000-02-02T17:59:52,0.91,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-03,56,28.1,42.3,56,17.6,38.3,18.8,42.7,0,0,0,,,,,25.3,25.3,13.7,4.7,248.1,1015.3,3.8,9.9,,,,,2000-02-03T07:27:39,2000-02-03T18:00:52,0.94,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-04,53,33.2,42.9,53,24.4,38.5,22.3,46.2,0,0,0,,,,,19.7,19.7,10.7,5.8,291.8,1012.7,10.8,9.9,,,,,2000-02-04T07:26:52,2000-02-04T18:01:53,0.97,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-05,48.8,29,37.7,45.3,21.6,33,19.4,48.7,0,0,0,,,,,18.3,18.3,8.1,3.4,332.2,1023.5,0,9.9,,,,,2000-02-05T07:26:02,2000-02-05T18:02:53,0,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-06,53,26.9,39.6,53,24.9,37.4,17.4,43.6,0,0,0,,,,,10.3,10.3,5.9,3.4,102.3,1026.8,0,9.9,,,,,2000-02-06T07:25:12,2000-02-06T18:03:54,0.04,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-07,61.1,33.2,45.9,61.1,28.8,44.1,23.9,44.3,0,0,0,,,,,9.2,9.2,5.5,3.4,256.1,1023.3,0,9.9,,,,,2000-02-07T07:24:20,2000-02-07T18:04:54,0.08,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-08,53.9,42.2,47.9,53.9,37.2,45.1,32.2,54.7,0,0,0,,,,,13.9,13.9,9.1,4.7,52,1026.7,12.2,9.9,,,,,2000-02-08T07:23:26,2000-02-08T18:05:53,0.11,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-09,61.1,34.1,46.2,61.1,29.9,43.8,32.9,62.2,0,0,0,,,,,8.1,8.1,5.3,3.4,52.6,1023.2,0,9.5,,,,,2000-02-09T07:22:31,2000-02-09T18:06:53,0.15,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-10,65.9,35,50.9,65.9,30.8,50,34.4,57.8,0,0,0,,,,,13.9,13.9,5.7,3.4,210.7,1015.2,0,8.9,,,,,2000-02-10T07:21:35,2000-02-10T18:07:52,0.18,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-11,74,47,59.3,74,42.7,58.9,46.9,64.8,0,0,0,,,,,15,15,10.4,4.7,235.3,1012.4,1.3,9.4,,,,,2000-02-11T07:20:37,2000-02-11T18:08:51,0.22,Clear,Clear conditions throughout the day.,clear-day,obs
29642,2000-02-12,55.1,38,46.6,55.1,31.6,42.7,46.1,98.2,0.574,100,29.17,rain,,,,13.9,13.9,10.4,3.4,58.2,1017.4,90.9,6,,,,,2000-02-12T07:19:39,2000-02-12T18:09:50,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,obs
29642,2000-02-13,38.9,35,36.8,37.1,27.8,31.7,36.8,100,0.182,100,20.83,rain,,,,10.3,10.3,6.9,4.7,65.6,1019.4,100,2.2,,,,,2000-02-13T07:18:39,2000-02-13T18:10:49,0.29,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,obs
